benchmark,case,gap_m,phase_rad,l,m,omega_rad_s,B_amplitude_T,Fx_N,Fy_N,Fz_N,taux_Nm,tauy_Nm,tauz_Nm,joule_power_W,stress_radius_over_a,n_mu,n_phi,static_diffusion_ratio,tau_lag_Nm,diffusion_tau_lag_ratio,volume_Fx_N,volume_Fy_N,volume_Fz_N,relative_error,spectral_weight,note
carousel_spectral_component,gap_5mm,0.005,0.2617993877991494,nan,nan,117.80972450968254,nan,-0.00022361302895280088,2.424589899841793e-07,-0.000947367209061639,9.007921242941976e-18,-3.101185479656305e-17,-4.1225702368952834e-19,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.032115672702713434,weighted independent-frequency contribution
carousel_spectral_component,gap_5mm,0.005,0.2617993877991494,nan,nan,171.2167996207386,nan,-0.00023393872788349108,2.536903061238085e-07,-0.000991103247477381,6.448301690659578e-18,-3.406538768291732e-17,4.592947715701478e-19,nan,1.05,28,56,nan,nan,nan,nan,nan,nan,nan,0.03362906193489845,weighted independent-frequency contribution
carousel_spectral_sum,gap_5mm,0.005,0.2617993877991494,nan,nan,nan,nan,-0.0069677715558128525,7.554163444464936e-06,-0.02952016424679659,2.5284235128914175e-16,-9.80775604298671e-16,-4.748405430952388e-18,nan,1.05,28,56,0.9998706629638018,nan,nan,nan,nan,nan,nan,nan,offline separable-spectrum sum; not transient simulation
carousel_static_bridge,gap_8mm,0.008,0.0,nan,nan,0,0.020655554749615102,-0.002126315032536391,7.716059142630889e-14,-0.21529936765711588,-7.990968100935247e-17,4.244824510726251e-15,1.632281079458792e-16,nan,1.05,28,56,nan,nan,nan,-0.00207054102037291,-4.3423207026361665e-12,-0.20260583344263908,0.06264870919333529,nan,l<=6 modal Maxwell stress vs static volume_demag
carousel_single_frequency,gap_8mm,0.008,0.0,nan,nan,34.56,0.020655554749615102,-0.0010630851701706138,4.1943149067792816e-14,-0.10764311295775213,-1.6997837462424262e-17,2.180019838884834e-15,9.535224067244856e-17,nan,1.05,28,56,0.9999389599285622,nan,nan,nan,nan,nan,nan,nan,one-frequency scale estimate; denominator is zero-frequency phasor
carousel_lmax_convergence,gap_8mm,0.008,0.0,1,nan,34.56,0.020655554749615102,-1.4749003545712867e-15,4.816308694487198e-15,6.437391106826375e-14,2.3089252601038767e-17,-1.2747767687609334e-17,4.736571435547757e-17,nan,1.05,28,56,1.3062151258596253,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_lmax_convergence,gap_8mm,0.008,0.0,2,nan,34.56,0.020655554749615102,-0.0008636924668911861,1.2392357846055148e-14,-0.07672105006916352,6.121975834932106e-17,-1.4694038603760365e-16,7.157783202218011e-17,nan,1.05,28,56,0.9999203346324665,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_lmax_convergence,gap_8mm,0.008,0.0,3,nan,34.56,0.020655554749615102,-0.0010702545070019665,-2.5634799006839728e-15,-0.10128458721647225,-8.547629379293931e-17,2.3307302435629966e-15,9.424767133499555e-17,nan,1.05,28,56,0.9999354655951722,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_lmax_convergence,gap_8mm,0.008,0.0,4,nan,34.56,0.020655554749615102,-0.001065812979368893,2.778772245488857e-14,-0.10659563409374427,4.3518784052820023e-17,2.47735082141326e-15,1.0082143310676742e-16,nan,1.05,28,56,0.9999383841129413,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
carousel_lmax_convergence,gap_8mm,0.008,0.0,5,nan,34.56,0.020655554749615102,-0.001063289646911442,3.5516712154999804e-14,-0.10751345477709981,9.708473655103576e-17,2.3038829675259556e-15,9.649135787623012e-17,nan,1.05,28,56,0.9999388879047294,nan,nan,nan,nan,nan,nan,nan,cumulative spatial harmonics l=1..listed l
